State FIPS,Area Name,Occupation Code,Occupation Name,Year,2022 opening,Prediction Year,2023 opening,Change,Percent Change,Average Annual Openings
1,Alabama,00-0000,"Total, All Occupations",2022,2139020,2023,2202040,63020,2.9,269120
1,Alabama,11-1011,Chief Executives,2022,2460,2023,2460,0,.0,170
1,Alabama,11-1021,General and Operations Managers,2022,33020,2023,34260,1240,3.8,3380
1,Alabama,11-1031,Legislators,2022,1170,2023,1190,20,1.7,100
1,Alabama,11-2011,Advertising and Promotions Managers,2022,70,2023,80,10,14.3,10
1,Alabama,Nov-22,Marketing Managers,2022,1440,2023,1490,50,3.5,150
1,Alabama,11-2022,Sales Managers,2022,3000,2023,3100,100,3.3,310
1,Alabama,11-2030,Public Relations and Fundraising Managers (SOC 2018),2022,560,2023,590,30,5.4,60
1,Alabama,11-3010,Administrative Services and Facilities Managers (SOC 2018),2022,1180,2023,1230,50,4.2,120
1,Alabama,11-3021,Computer and Information Systems Managers,2022,4230,2023,4430,200,4.7,420
1,Alabama,11-3031,Financial Managers,2022,5720,2023,6040,320,5.6,580
1,Alabama,11-3051,Industrial Production Managers,2022,3260,2023,3420,160,4.9,300
1,Alabama,11-3061,Purchasing Managers,2022,1030,2023,1060,30,2.9,100
1,Alabama,11-3071,"Transportation, Storage, and Distribution Managers",2022,1410,2023,1480,70,5.0,140
1,Alabama,11-3111,Compensation and Benefits Managers,2022,100,2023,110,10,10.0,10
1,Alabama,11-3121,Human Resources Managers,2022,1550,2023,1620,70,4.5,160
1,Alabama,11-3131,Training and Development Managers,2022,230,2023,240,10,4.3,30
1,Alabama,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2022,15350,2023,15450,100,.7,1540
1,Alabama,11-9021,Construction Managers,2022,6220,2023,6430,210,3.4,550
1,Alabama,11-9031,"Education Administrators, Preschool and Childcare Center/Program",2022,480,2023,490,10,2.1,40
1,Alabama,11-9032,"Education Administrators, Elementary and Secondary School",2022,3260,2023,3370,110,3.4,290
1,Alabama,11-9033,"Education Administrators, Postsecondary",2022,3140,2023,3240,100,3.2,280
1,Alabama,11-9041,Architectural and Engineering Managers,2022,2400,2023,2510,110,4.6,220
1,Alabama,11-9051,Food Service Managers,2022,3830,2023,3890,60,1.6,460
1,Alabama,11-9081,Lodging Managers,2022,600,2023,600,0,.0,70
1,Alabama,11-9111,Medical and Health Services Managers,2022,6840,2023,7350,510,7.5,790
1,Alabama,11-9121,Natural Sciences Managers,2022,190,2023,200,10,5.3,20
1,Alabama,11-9131,Postmasters and Mail Superintendents,2022,270,2023,290,20,7.4,30
1,Alabama,11-9141,"Property, Real Estate, and Community Association Managers",2022,3740,2023,3780,40,1.1,310
1,Alabama,11-9151,Social and Community Service Managers,2022,2570,2023,2660,90,3.5,260
1,Alabama,11-9161,Emergency Management Directors,2022,240,2023,240,0,.0,20
1,Alabama,11-9171,Funeral Home Managers,2022,270,2023,290,20,7.4,30
1,Alabama,11-9198,"Personal Service Managers; Entertainment & Recreation Managers, Except Gambling; and Managers, All Other",2022,3370,2023,3430,60,1.8,280
1,Alabama,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2022,90,2023,100,10,11.1,10
1,Alabama,13-1020,Buyers and Purchasing Agents,2022,6950,2023,7030,80,1.2,730
1,Alabama,13-1031,"Claims Adjusters, Examiners, and Investigators",2022,4430,2023,4420,-10,-.2,330
1,Alabama,13-1032,"Insurance Appraisers, Auto Damage",2022,210,2023,210,0,.0,20
1,Alabama,13-1041,Compliance Officers,2022,2510,2023,2580,70,2.8,230
1,Alabama,13-1051,Cost Estimators,2022,2200,2023,2240,40,1.8,220
1,Alabama,13-1071,Human Resources Specialists,2022,7400,2023,7700,300,4.1,860
1,Alabama,13-1074,Farm Labor Contractors,2022,10,2023,10,0,.0,0
1,Alabama,13-1075,Labor Relations Specialists,2022,740,2023,780,40,5.4,90
1,Alabama,13-1081,Logisticians,2022,4430,2023,4730,300,6.8,540
1,Alabama,13-1111,Management Analysts,2022,6500,2023,6780,280,4.3,740
1,Alabama,13-1121,"Meeting, Convention, and Event Planners",2022,770,2023,790,20,2.6,90
1,Alabama,13-1131,Fundraisers,2022,3930,2023,4170,240,6.1,500
1,Alabama,13-1141,"Compensation, Benefits, and Job Analysis Specialists",2022,650,2023,680,30,4.6,70
1,Alabama,13-1151,Training and Development Specialists,2022,2690,2023,2800,110,4.1,310
1,Alabama,13-1161,Market Research Analysts and Marketing Specialists,2022,5500,2023,5850,350,6.4,720
1,Alabama,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",2022,10560,2023,10650,90,.9,810
1,Alabama,13-2011,Accountants and Auditors,2022,20630,2023,21450,820,4.0,2240
1,Alabama,13-2020,Property Appraisers and Assessors,2022,1200,2023,1220,20,1.7,100
1,Alabama,13-2031,Budget Analysts,2022,920,2023,930,10,1.1,80
1,Alabama,13-2041,Credit Analysts,2022,460,2023,460,0,.0,40
1,Alabama,13-2052,Personal Financial Advisors,2022,2600,2023,2640,40,1.5,210
1,Alabama,13-2053,Insurance Underwriters,2022,840,2023,840,0,.0,60
1,Alabama,13-2061,Financial Examiners,2022,1410,2023,1510,100,7.1,150
1,Alabama,13-2071,Credit Counselors,2022,160,2023,170,10,6.3,20
1,Alabama,13-2072,Loan Officers,2022,4160,2023,4260,100,2.4,370
1,Alabama,13-2081,"Tax Examiners and Collectors, and Revenue Agents",2022,1140,2023,1150,10,.9,100
1,Alabama,13-2082,Tax Preparers,2022,770,2023,790,20,2.6,100
1,Alabama,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",2022,2450,2023,2530,80,3.3,230
1,Alabama,15-1211,Computer Systems Analysts (SOC 2018),2022,5300,2023,5490,190,3.6,470
1,Alabama,15-1212,Information Security Analysts (SOC 2018),2022,1960,2023,2120,160,8.2,220
1,Alabama,15-1221,Computer and Information Research Scientists (SOC 2018),2022,400,2023,430,30,7.5,40
1,Alabama,15-1231,Computer Network Support Specialists (SOC 2018),2022,1230,2023,1280,50,4.1,110
1,Alabama,15-1232,Computer User Support Specialists (SOC 2018),2022,6800,2023,7100,300,4.4,650
1,Alabama,15-1241,Computer Network Architects (SOC 2018),2022,1920,2023,1980,60,3.1,150
1,Alabama,15-1244,Network and Computer Systems Administrators (SOC 2018),2022,4710,2023,4870,160,3.4,390
1,Alabama,15-1245,Database Administrators and Architects,2022,2740,2023,2830,90,3.3,240
1,Alabama,15-1251,Computer Programmers (SOC 2018),2022,4080,2023,4090,10,.2,270
1,Alabama,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,2022,18460,2023,19590,1130,6.1,1940
1,Alabama,15-1257,Web Developers and Digital Interface Designers,2022,1180,2023,1220,40,3.4,110
1,Alabama,15-1299,"Computer Occupations, All Other (SOC 2018)",2022,3080,2023,3170,90,2.9,270
1,Alabama,15-2011,Actuaries,2022,100,2023,100,0,.0,10
1,Alabama,15-2022,Mathematicians,2022,20,2023,20,0,.0,0
1,Alabama,15-2031,Operations Research Analysts,2022,560,2023,600,40,7.1,50
1,Alabama,15-2041,Statisticians,2022,230,2023,250,20,8.7,30
1,Alabama,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",2022,240,2023,260,20,8.3,30
1,Alabama,17-1011,"Architects, Except Landscape and Naval",2022,1210,2023,1250,40,3.3,110
1,Alabama,17-1012,Landscape Architects,2022,280,2023,290,10,3.6,30
1,Alabama,17-2011,Aerospace Engineers,2022,3650,2023,3830,180,4.9,300
1,Alabama,17-2031,Biomedical Engineers,2022,120,2023,130,10,8.3,10
1,Alabama,17-2041,Chemical Engineers,2022,700,2023,750,50,7.1,70
1,Alabama,17-2051,Civil Engineers,2022,4830,2023,5060,230,4.8,450
1,Alabama,17-2061,Computer Hardware Engineers,2022,1150,2023,1160,10,.9,80
1,Alabama,17-2071,Electrical Engineers,2022,4520,2023,4770,250,5.5,420
1,Alabama,17-2072,"Electronics Engineers, Except Computer",2022,1560,2023,1610,50,3.2,130
1,Alabama,17-2081,Environmental Engineers,2022,670,2023,690,20,3.0,60
1,Alabama,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2022,630,2023,660,30,4.8,50
1,Alabama,17-2112,Industrial Engineers,2022,6490,2023,6930,440,6.8,640
1,Alabama,17-2131,Materials Engineers,2022,800,2023,850,50,6.3,70
1,Alabama,17-2141,Mechanical Engineers,2022,4010,2023,4220,210,5.2,340
1,Alabama,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",2022,150,2023,150,0,.0,10
1,Alabama,17-2161,Nuclear Engineers,2022,110,2023,110,0,.0,10
1,Alabama,17-2171,Petroleum Engineers,2022,60,2023,60,0,.0,10
1,Alabama,17-2199,"Engineers, All Other",2022,3430,2023,3460,30,.9,230
1,Alabama,17-3011,Architectural and Civil Drafters,2022,1120,2023,1170,50,4.5,130
1,Alabama,17-3012,Electrical and Electronics Drafters,2022,360,2023,370,10,2.8,40
1,Alabama,17-3013,Mechanical Drafters,2022,780,2023,800,20,2.6,80
1,Alabama,17-3019,"Drafters, All Other",2022,130,2023,130,0,.0,10
1,Alabama,17-3021,Aerospace Engineering and Operations Technicians,2022,510,2023,540,30,5.9,60
